created_at,entry_id,field1,latitude,longitude,elevation,status
2024-08-30T05:00:00,1,0.07,,,,
2024-08-30T17:00:00,2,0.05,,,,
2024-08-31T05:00:00,3,0.06,,,,
2024-08-31T17:00:00,4,0.06,,,,
2024-09-01T05:00:00,5,0.07,,,,
2024-09-01T17:00:00,6,0.06,,,,
2024-09-02T05:00:00,7,0.06,,,,
2024-09-02T17:00:00,8,0.04,,,,
2024-09-03T05:00:00,9,0.06,,,,
2024-09-03T17:00:00,10,0.05,,,,
2024-09-04T05:00:00,11,0.05,,,,
2024-09-04T17:00:00,12,0.05,,,,
2024-09-05T05:00:00,13,0.07,,,,
2024-09-05T17:00:00,14,0.06,,,,
2024-09-06T05:00:00,15,0.05,,,,
2024-09-06T17:00:00,16,0.05,,,,
2024-09-07T05:00:00,17,0.07,,,,
2024-09-07T17:00:00,18,0.06,,,,
2024-09-08T05:00:00,19,0.05,,,,
2024-09-08T17:00:00,20,0.06,,,,
2024-09-09T05:00:00,21,0.07,,,,
2024-09-09T17:00:00,22,0.05,,,,
2024-09-10T05:00:00,23,0.07,,,,
2024-09-10T17:00:00,24,0.08,,,,
2024-09-11T05:00:00,25,0.07,,,,
2024-09-11T17:00:00,26,0.06,,,,
2024-09-12T05:00:00,27,0.08,,,,
2024-09-12T17:00:00,28,0.05,,,,
2024-09-13T05:00:00,29,0.07,,,,
2024-09-13T17:00:00,30,0.07,,,,
2024-09-14T05:00:00,31,0.06,,,,
2024-09-14T17:00:00,32,0.04,,,,
2024-09-15T05:00:00,33,0.06,,,,
2024-09-15T17:00:00,34,0.05,,,,
2024-09-16T05:00:00,35,0.06,,,,
2024-09-16T17:00:00,36,0.04,,,,
2024-09-17T05:00:00,37,0.05,,,,
2024-09-17T17:00:00,38,0.06,,,,
2024-09-18T05:00:00,39,0.07,,,,
2024-09-18T17:00:00,40,0.07,,,,
2024-09-19T05:00:00,41,0.07,,,,
2024-09-19T17:00:00,42,0.05,,,,
2024-09-20T05:00:00,43,0.06,,,,
2024-09-20T17:00:00,44,0.05,,,,
2024-09-21T05:00:00,45,0.07,,,,
2024-09-21T17:00:00,46,0.07,,,,
2024-09-22T05:00:00,47,0.04,,,,
2024-09-22T17:00:00,48,0.08,,,,
2024-09-23T05:00:00,49,0.08,,,,
2024-09-23T17:00:00,50,0.06,,,,
2024-09-24T05:00:00,51,0.05,,,,
2024-09-24T17:00:00,52,0.06,,,,
2024-09-25T05:00:00,53,0.05,,,,
2024-09-25T17:00:00,54,0.06,,,,
2024-09-26T05:00:00,55,0.07,,,,
2024-09-26T17:00:00,56,0.07,,,,
2024-09-27T05:00:00,57,0.07,,,,
2024-09-27T17:00:00,58,0.05,,,,
2024-09-28T05:00:00,59,0.05,,,,
2024-09-28T17:00:00,60,0.07,,,,
